LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715671212.636949,2559880.500,26423,2,AK,1,100,25565
1715671215.312688,2562433.000,26423,2,AK,1,100,RD
1715671215.326316,2562446.000,26426,2,AK,1,100,26424
1715671215.339943,2562459.000,26426,2,AK,1,100,RD
1715671218.028262,2565023.500,27289,2,AK,1,100,26424
1715671220.716581,2567588.000,27289,2,AK,1,100,RD
1715671220.731781,2567602.500,27292,2,AK,1,100,27290
1715671220.746981,2567617.000,27292,2,AK,1,100,RD
1715671223.413810,2570161.000,28151,2,AK,1,100,27290
1715671226.080639,2572705.000,28151,2,AK,1,100,RD
1715671226.106322,2572729.500,28154,2,AK,1,100,28152
1715671226.132005,2572754.000,28154,2,AK,1,100,RD
1715671228.815606,2575314.000,29019,2,AK,1,100,28152
1715671231.499208,2577874.000,29019,2,AK,1,100,RD
1715671231.530132,2577903.500,29022,2,AK,1,100,29020
1715671231.561056,2577933.000,29022,2,AK,1,100,RD
1715671234.219499,2580469.000,29878,2,AK,1,100,29020
1715671236.877942,2583005.000,29878,2,AK,1,100,RD
1715671236.892618,2583019.000,29881,2,AK,1,100,29879
1715671236.907294,2583033.000,29881,2,AK,1,100,RD
1715671239.570978,2585574.000,30743,2,AK,1,100,29879
1715671242.234662,2588115.000,30743,2,AK,1,100,RD
1715671242.273973,2588152.500,30746,2,AK,1,100,30744
1715671242.313283,2588190.000,30746,2,AK,1,100,RD
1715671244.955477,2590710.500,31585,2,AK,1,100,30744
1715671247.597672,2593231.000,31585,2,AK,1,100,RD
1715671250.296473,2595805.500,32418,2,AK,1,100,31586
1715671252.995275,2598380.000,32418,2,AK,1,100,RD
1715671255.714518,2600974.000,33265,2,AK,1,100,32419
1715671258.433761,2603568.000,33265,2,AK,1,100,RD
1715671258.444244,2603578.000,33267,2,AK,1,100,32419
1715671258.454727,2603588.000,33267,2,AK,1,100,RD
1715671258.469927,2603602.500,33270,2,AK,1,100,33268
1715671258.485127,2603617.000,33270,2,AK,1,100,RD
1715671261.126273,2606136.500,34099,2,AK,1,100,33268
1715671263.767419,2608656.000,34099,2,AK,1,100,RD
1715671263.789957,2608677.500,34102,2,AK,1,100,34100
1715671263.812495,2608699.000,34102,2,AK,1,100,RD
1715671266.489283,2611252.500,34946,2,AK,1,100,34100
1715671269.166070,2613806.000,34946,2,AK,1,100,RD
1715671269.184939,2613824.000,34949,2,AK,1,100,34947
1715671269.203809,2613842.000,34949,2,AK,1,100,RD
1715671271.895796,2616410.000,35797,2,AK,1,100,34947
1715671274.587784,2618978.000,35797,2,AK,1,100,RD
1715671274.630239,2619018.500,35800,2,AK,1,100,35798
1715671274.672695,2619059.000,35800,2,AK,1,100,RD
1715671277.301785,2621567.000,36641,2,AK,1,100,35798
1715671279.930876,2624075.000,36641,2,AK,1,100,RD
1715671279.943980,2624087.500,36644,2,AK,1,100,36642
1715671279.957083,2624100.000,36644,2,AK,1,100,RD
1715671282.637540,2626657.000,37470,2,AK,1,100,36642
1715671285.317997,2629214.000,37470,2,AK,1,100,RD
1715671285.330052,2629225.500,37473,2,AK,1,100,37471
1715671285.342107,2629237.000,37473,2,AK,1,100,RD
1715671288.036191,2631807.000,38324,2,AK,1,100,37471
1715671290.730276,2634377.000,38324,2,AK,1,100,RD
1715671290.744427,2634390.500,38327,2,AK,1,100,38325
1715671290.758579,2634404.000,38327,2,AK,1,100,RD
1715671293.426457,2636949.000,39167,2,AK,1,100,39165
1715671296.094334,2639494.000,39167,2,AK,1,100,RD
1715671298.776887,2642053.000,39998,2,AK,1,100,39165
1715671301.459440,2644612.000,39998,2,AK,1,100,RD
1715671301.480930,2644632.500,40001,2,AK,1,100,39999
1715671301.502420,2644653.000,40001,2,AK,1,100,RD
1715671304.164007,2647192.000,40843,2,AK,1,100,39999
