LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1715672304.723851,3601668,325,4,TX,1,100,487738.9332435,2233063.2401918,
1715672305.488049,3602397,441,4,TX,1,100,487739.7164732,2233064.0234194,
1715672305.982838,3602869,517,4,TX,1,100,487740.2168246,2233064.5237709,
1715672306.952499,3603794,674,4,TX,1,100,487741.0332254,2233065.3401716,
1715672307.343508,3604167,742,4,TX,1,100,487741.5666383,2233065.8735792,
1715672308.107705,3604896,862,4,TX,1,100,487742.3006357,2233066.6075766,
1715672309.285974,3606020,1049,4,TX,1,100,487743.5332431,2233067.8402125,
1715672309.896074,3606602,1153,4,TX,1,100,487744.0667213,2233068.3736908,
1715672310.660271,3607331,1269,4,TX,1,100,487744.8832409,2233069.1902103,
1715672311.927644,3608540,1476,4,TX,1,100,487746.1000890,2233070.4070155,
1715672313.141555,3609698,1667,4,TX,1,100,487747.3667194,2233071.6736459,
1715672313.775765,3610303,1769,4,TX,1,100,487747.9333623,2233072.2403035,
1715672314.654225,3611141,1905,4,TX,1,100,487748.8833828,2233073.1903240,
1715672315.168932,3611632,1991,4,TX,1,100,487749.4001456,2233073.7070868,
1715672315.904825,3612334,2113,4,TX,1,100,487750.1332695,2233074.4401801,
1715672316.529602,3612930,2215,4,TX,1,100,487750.7049525,2233075.0118630,
1715672317.118736,3613492,2301,4,TX,1,100,487751.3666721,2233075.6735827,
1715672317.739319,3614084,2394,4,TX,1,100,487751.8838125,2233076.1907260,
1715672318.607296,3614912,2532,4,TX,1,100,487752.7332575,2233077.0401710,
1715672319.028705,3615314,2600,4,TX,1,100,487753.2672447,2233077.5741582,
1715672319.787661,3616038,2721,4,TX,1,100,487754.0169030,2233078.3237916,
1715672321.048744,3617241,2924,4,TX,1,100,487755.2670363,2233079.5739249,
1715672322.310876,3618445,3127,4,TX,1,100,487756.5333126,2233080.8401974,
1715672322.844451,3618954,3213,4,TX,1,100,487757.0834350,2233081.3903198,
1715672323.719767,3619789,3352,4,TX,1,100,487757.8334760,2233082.1403461,
1715672324.184155,3620232,3423,4,TX,1,100,487758.4335638,2233082.7404339,
1715672324.911663,3620926,3542,4,TX,1,100,487759.1502118,2233083.4570819,
1715672325.432659,3621423,3626,4,TX,1,100,487759.6668485,2233083.9737164,
1715672326.223063,3622177,3749,4,TX,1,100,487760.4338958,2233084.7407637,
1715672326.835260,3622761,3853,4,TX,1,100,487761.0050557,2233085.3119236,
1715672327.389801,3623290,3938,4,TX,1,100,487761.6333716,2233085.9402304,
1715672328.003046,3623875,4042,4,TX,1,100,487762.2050385,2233086.5118973,
1715672328.721119,3624560,4150,4,TX,1,100,487762.9505961,2233087.2574549,
1715672329.338557,3625149,4253,4,TX,1,100,487763.5006399,2233087.8074689,
1715672330.013651,3625793,4357,4,TX,1,100,487764.1839608,2233088.4907898,
1715672331.281023,3627002,4561,4,TX,1,100,487765.5167801,2233089.8236154,
1715672332.585086,3628246,4764,4,TX,1,100,487766.7838612,2233091.0906966,
1715672333.109227,3628746,4848,4,TX,1,100,487767.3169333,2233091.6237687,
1715672333.846169,3629449,4972,4,TX,1,100,487768.0834784,2233092.3902957,
1715672334.392324,3629970,5059,4,TX,1,100,487768.6190402,2233092.9258575,
1715672335.115638,3630660,5177,4,TX,1,100,487769.3503791,2233093.6571964,
1715672335.645020,3631165,5265,4,TX,1,100,487769.8669566,2233094.1737912,
1715672336.391397,3631877,5387,4,TX,1,100,487770.6342343,2233094.9410689,
1715672336.912393,3632374,5473,4,TX,1,100,487771.1503442,2233095.4571788,
1715672338.102193,3633509,5642,4,TX,1,100,487771.9172916,2233096.2241213,
1715672339.069757,3634432,5797,4,TX,1,100,487773.2173959,2233097.5242256,
1715672339.520519,3634862,5873,4,TX,1,100,487773.7170258,2233098.0238302,
1715672340.267943,3635575,5991,4,TX,1,100,487774.5003389,2233098.8071433,
1715672341.644337,3636888,6213,4,TX,1,100,487775.8339124,2233100.1407001,
1715672342.198879,3637417,6298,4,TX,1,100,487776.3837611,2233100.6905488,
1715672342.841475,3638030,6401,4,TX,1,100,487777.0836509,2233101.3904386,
1715672343.382389,3638546,6487,4,TX,1,100,487777.6173186,2233101.9241095,
1715672344.107800,3639238,6607,4,TX,1,100,487778.3335642,2233102.6403551,
1715672344.673872,3639778,6698,4,TX,1,100,487778.8836505,2233103.1904414,
1715672345.413959,3640484,6816,4,TX,1,100,487779.6175539,2233103.9243050,
1715672346.698104,3641709,7021,4,TX,1,100,487780.9335670,2233105.2403181,
1715672348.067160,3643015,7239,4,TX,1,100,487782.2836665,2233106.5904208,
1715672348.602832,3643526,7326,4,TX,1,100,487782.8337807,2233107.1405350,
1715672349.345016,3644234,7447,4,TX,1,100,487783.5839146,2233107.8906462,
1715672349.991806,3644851,7554,4,TX,1,100,487784.1839062,2233108.4906378,
1715672350.607147,3645438,7657,4,TX,1,100,487784.8511399,2233109.1578715,
1715672351.149109,3645955,7743,4,TX,1,100,487785.3504729,2233109.6572045,
1715672351.905968,3646677,7864,4,TX,1,100,487786.1503637,2233110.4571272,
1715672352.540179,3647282,7966,4,TX,1,100,487786.7253763,2233111.0321398,
1715672353.279217,3647987,8086,4,TX,1,100,487787.4341160,2233111.7408795,
1715672353.812793,3648496,8170,4,TX,1,100,487788.0338702,2233112.3405914,
1715672354.456438,3649110,8273,4,TX,1,100,487788.6843806,2233112.9911018,
1715672354.991062,3649620,8360,4,TX,1,100,487789.2004155,2233113.5071367,
1715672355.743728,3650338,8484,4,TX,1,100,487790.0004210,2233114.3071614,
1715672356.421966,3650985,8590,4,TX,1,100,487790.5753869,2233114.8821273,
1715672356.946107,3651485,8675,4,TX,1,100,487791.2004998,2233115.5072402,
1715672357.475490,3651990,8763,4,TX,1,100,487791.7339613,2233116.0406872,
1715672358.320405,3652796,8898,4,TX,1,100,487792.5670721,2233116.8737980,
1715672359.585681,3654003,9101,4,TX,1,100,487793.7838122,2233118.0905337,
1715672360.900226,3655257,9311,4,TX,1,100,487795.0837310,2233119.3904525,
1715672361.430657,3655763,9395,4,TX,1,100,487795.6177082,2233119.9244273,
1715672362.170744,3656469,9515,4,TX,1,100,487796.3671636,2233120.6738827,
1715672363.553428,3657788,9734,4,TX,1,100,487797.6838194,2233121.9905045,
1715672363.975885,3658191,9804,4,TX,1,100,487798.2339037,2233122.5405888,
1715672364.722262,3658903,9922,4,TX,1,100,487798.9505695,2233123.2572546,
1715672366.056725,3660176,10113,4,TX,1,100,487800.2504909,2233124.5571779,
1715672366.620700,3660714,10202,4,TX,1,100,487800.8005160,2233125.1072030,
1715672367.519078,3661571,10339,4,TX,1,100,487801.4504212,2233125.7571082,
1715672367.750748,3661792,10375,4,TX,1,100,487802.0005523,2233126.3072256,
1715672368.582036,3662585,10511,4,TX,1,100,487802.8173355,2233127.1240088,
1715672369.208908,3663183,10614,4,TX,1,100,487803.4006804,2233127.7073537,
1715672369.921740,3663863,10699,4,TX,1,100,487804.0504383,2233128.3571028,
1715672370.374598,3664295,10772,4,TX,1,100,487804.5506762,2233128.8573407,
1715672371.119926,3665006,10893,4,TX,1,100,487805.3344220,2233129.6410865,
1715672371.675515,3665536,10985,4,TX,1,100,487805.8839672,2233130.1906272,
1715672372.351657,3666181,11087,4,TX,1,100,487806.6005979,2233130.9072579,
1715672373.070778,3666867,11206,4,TX,1,100,487807.1506823,2233131.4573423,
1715672373.740630,3667506,11310,4,TX,1,100,487807.9173442,2233132.2239971,
1715672374.178812,3667924,11379,4,TX,1,100,487808.4339926,2233132.7406455,
1715672375.022679,3668729,11516,4,TX,1,100,487809.2505890,2233133.5572419,
1715672376.215624,3669867,11704,4,TX,1,100,487810.4506211,2233134.7572657,
1715672376.768068,3670394,11794,4,TX,1,100,487810.9672111,2233135.2738557,
1715672377.535411,3671126,11914,4,TX,1,100,487811.7507470,2233136.0573819,
1715672378.079469,3671645,12002,4,TX,1,100,487812.3256304,2233136.6322653,
1715672378.915998,3672443,12138,4,TX,1,100,487813.0513400,2233137.3579749,
1715672379.383532,3672889,12206,4,TX,1,100,487813.6006083,2233137.9072162,
1715672380.213771,3673681,12344,4,TX,1,100,487814.3841240,2233138.6907319,
1715672380.738960,3674182,12432,4,TX,1,100,487814.9339150,2233139.2405229,
1715672381.418247,3674830,12535,4,TX,1,100,487815.6172819,2233139.9238899,
1715672381.951822,3675339,12622,4,TX,1,100,487816.1956940,2233140.5023020,
1715672382.748516,3676099,12748,4,TX,1,100,487816.9339644,2233141.2405724,
1715672383.250643,3676578,12835,4,TX,1,100,487817.4840997,2233141.7906995,
1715672383.918399,3677215,12936,4,TX,1,100,487818.1673588,2233142.4739585,
1715672384.543175,3677811,13039,4,TX,1,100,487818.7174109,2233143.0240107,
1715672385.287455,3678521,13157,4,TX,1,100,487819.4506622,2233143.7572619,
1715672385.822078,3679031,13247,4,TX,1,100,487820.0340278,2233144.3406425,
1715672386.574745,3679749,13366,4,TX,1,100,487820.7673533,2233145.0739681,
1715672387.094693,3680245,13451,4,TX,1,100,487821.3011053,2233145.6077201,
1715672387.878807,3680993,13577,4,TX,1,100,487822.0506916,2233146.3572778,
1715672388.421817,3681511,13661,4,TX,1,100,487822.6259689,2233146.9325551,
1715672389.061269,3682121,13765,4,TX,1,100,487823.3011018,2233147.6076880,
1715672389.614762,3682649,13853,4,TX,1,100,487823.8174127,2233148.1239889,
1715672390.458629,3683454,13988,4,TX,1,100,487824.6508205,2233148.9573967,
1715672390.980673,3683952,14077,4,TX,1,100,487825.1509816,2233149.4575578,
1715672391.823492,3684756,14213,4,TX,1,100,487825.9173654,2233150.2239357,
1715672392.243853,3685157,14281,4,TX,1,100,487826.4674199,2233150.7739902,
