LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715671118.566758,2470143.000,11026,2,RD,1,100,TU
1715671121.264512,2472716.500,11893,2,RD,1,100,TL
1715671123.962265,2475290.000,11893,2,RD,1,100,TU
1715671126.643246,2477847.500,12739,2,RD,1,100,TL
1715671129.324226,2480405.000,12739,2,RD,1,100,TU
1715671132.003635,2482961.000,13583,2,RD,1,100,TL
1715671134.683043,2485517.000,13583,2,RD,1,100,TU
1715671137.370838,2488081.000,14447,2,RD,1,100,TL
1715671140.058632,2490645.000,14447,2,RD,1,100,TU
1715671142.738041,2493201.000,15298,2,RD,1,100,TL
1715671145.417449,2495757.000,15298,2,RD,1,100,TU
1715671148.094237,2498310.500,16160,2,RD,1,100,TL
1715671150.771024,2500864.000,16160,2,RD,1,100,TU
1715671153.451481,2503421.000,17022,2,RD,1,100,TL
1715671156.131938,2505978.000,17022,2,RD,1,100,TU
1715671158.827594,2508549.500,17856,2,RD,1,100,TL
1715671161.523251,2511121.000,17856,2,RD,1,100,TU
1715671164.234108,2513707.000,18719,2,RD,1,100,TL
1715671166.944965,2516293.000,18719,2,RD,1,100,TU
1715671169.644814,2518868.500,19581,2,RD,1,100,TL
1715671172.344664,2521444.000,19581,2,RD,1,100,TU
1715671175.026169,2524002.000,20446,2,RD,1,100,TL
1715671177.707674,2526560.000,20446,2,RD,1,100,TU
1715671180.407000,2529135.000,21306,2,RD,1,100,TL
1715671183.106325,2531710.000,21306,2,RD,1,100,TU
1715671185.794644,2534274.500,22153,2,RD,1,100,TL
1715671188.482963,2536839.000,22153,2,RD,1,100,TU
1715671191.173378,2539405.500,22985,2,RD,1,100,TL
1715671193.863794,2541972.000,22985,2,RD,1,100,TU
1715671196.531147,2544516.500,23847,2,RD,1,100,TL
1715671199.198500,2547061.000,23847,2,RD,1,100,TU
1715671201.873715,2549613.000,24693,2,RD,1,100,TL
1715671204.548930,2552165.000,24693,2,RD,1,100,TU
1715671207.230435,2554723.000,25565,2,RD,1,100,TL
1715671209.911940,2557281.000,25565,2,RD,1,100,TU
1715671212.612314,2559857.000,26424,2,RD,1,100,TL
1715671215.312688,2562433.000,26424,2,RD,1,100,TU
1715671218.015159,2565011.000,27290,2,RD,1,100,TL
1715671220.717629,2567589.000,27290,2,RD,1,100,TU
1715671223.399658,2570147.500,28152,2,RD,1,100,TL
1715671226.081687,2572706.000,28152,2,RD,1,100,TU
1715671228.790972,2575290.500,29020,2,RD,1,100,TL
1715671231.500256,2577875.000,29020,2,RD,1,100,TU
1715671234.189099,2580440.000,29879,2,RD,1,100,TL
