LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1715670895.171612,2257037,41640,1,HR,1,100,60
1715670896.172721,2257992,41809,1,HR,1,100,60
1715670897.103595,2258880,41950,1,HR,1,100,61
1715670898.086883,2259818,42107,1,HR,1,100,61
1715670899.056544,2260743,42248,1,HR,1,100,61
1715670899.982177,2261626,42401,1,HR,1,100,62
1715670901.049328,2262644,42573,1,HR,1,100,61
1715670901.989636,2263541,42711,1,HR,1,100,62
1715670903.147988,2264646,42898,1,HR,1,100,60
1715670904.179497,2265630,43046,1,HR,1,100,59
1715670905.082068,2266491,43199,1,HR,1,100,61
1715670905.943756,2267313,43335,1,HR,1,100,63
1715670906.855761,2268183,43475,1,HR,1,100,64
1715670907.793973,2269078,43627,1,HR,1,100,64
1715670908.744765,2269985,43774,1,HR,1,100,64
1715670909.761598,2270955,43943,1,HR,1,100,63
1715670910.780528,2271927,44099,1,HR,1,100,62
1715670911.831954,2272930,44269,1,HR,1,100,61
1715670912.854029,2273905,44425,1,HR,1,100,60
1715670913.997705,2274996,44617,1,HR,1,100,59
1715670915.097353,2276045,44775,1,HR,1,100,58
1715670916.207483,2277104,44964,1,HR,1,100,57
1715670917.233751,2278083,45116,1,HR,1,100,58
1715670918.292516,2279093,45291,1,HR,1,100,57
1715670919.272659,2280028,45443,1,HR,1,100,58
1715670920.358679,2281064,45590,1,HR,1,100,58
1715670921.380754,2282039,45759,1,HR,1,100,58
1715670922.393394,2283005,45916,1,HR,1,100,58
1715670923.416517,2283981,46090,1,HR,1,100,58
1715670924.460606,2284977,46243,1,HR,1,100,58
1715670925.444942,2285916,46401,1,HR,1,100,59
1715670926.514190,2286936,46553,1,HR,1,100,58
1715670927.559327,2287933,46726,1,HR,1,100,58
1715670928.499636,2288830,46886,1,HR,1,100,60
1715670929.511228,2289795,47037,1,HR,1,100,60
1715670930.339370,2290585,47164,1,HR,1,100,63
1715670931.299596,2291501,47320,1,HR,1,100,63
1715670932.377230,2292529,47476,1,HR,1,100,61
1715670933.412932,2293517,47630,1,HR,1,100,61
1715670934.459118,2294515,47800,1,HR,1,100,60
1715670935.578683,2295583,47975,1,HR,1,100,59
1715670936.704537,2296657,48147,1,HR,1,100,57
1715670937.686778,2297594,48302,1,HR,1,100,58
1715670938.644907,2298508,48460,1,HR,1,100,59
1715670939.743506,2299556,48629,1,HR,1,100,58
1715670940.808561,2300572,48801,1,HR,1,100,58
1715670941.991023,2301700,48978,1,HR,1,100,56
1715670942.983746,2302647,49147,1,HR,1,100,57
1715670943.986951,2303604,49304,1,HR,1,100,58
1715670945.111758,2304677,49490,1,HR,1,100,57
1715670946.167377,2305684,49645,1,HR,1,100,57
1715670947.169535,2306640,49792,1,HR,1,100,58
1715670948.209430,2307632,49964,1,HR,1,100,58
1715670949.252471,2308627,50136,1,HR,1,100,58
1715670950.224228,2309554,50291,1,HR,1,100,59
1715670951.319683,2310599,50460,1,HR,1,100,58
1715670952.284102,2311519,50602,1,HR,1,100,59
1715670953.361736,2312547,50773,1,HR,1,100,58
1715670954.447756,2313583,50945,1,HR,1,100,58
1715670955.427899,2314518,51117,1,HR,1,100,58
1715670956.555851,2315594,51290,1,HR,1,100,57
1715670957.616712,2316606,51453,1,HR,1,100,57
1715670958.689104,2317629,51628,1,HR,1,100,57
1715670959.785607,2318675,51797,1,HR,1,100,57
1715670960.828647,2319670,51967,1,HR,1,100,57
1715670961.957647,2320747,52155,1,HR,1,100,56
1715670963.042618,2321782,52300,1,HR,1,100,56
1715670964.070983,2322763,52441,1,HR,1,100,57
1715670965.199982,2323840,52629,1,HR,1,100,56
1715670966.237781,2324830,52783,1,HR,1,100,56
1715670967.366781,2325907,52952,1,HR,1,100,56
1715670968.446511,2326937,53102,1,HR,1,100,56
1715670969.519952,2327961,53272,1,HR,1,100,56
1715670970.629034,2329019,53442,1,HR,1,100,56
1715670971.715054,2330055,53614,1,HR,1,100,56
1715670972.776963,2331068,53786,1,HR,1,100,56
1715670973.833632,2332076,53946,1,HR,1,100,56
1715670974.884010,2333078,54101,1,HR,1,100,56
1715670975.818029,2333969,54254,1,HR,1,100,58
1715670976.874697,2334977,54395,1,HR,1,100,58
1715670978.026759,2336076,54584,1,HR,1,100,57
1715670979.134793,2337133,54633,1,HR,1,100,56
1715670980.235489,2338183,54791,1,HR,1,100,56
1715670981.327798,2339225,54963,1,HR,1,100,56
1715670982.344632,2340195,55135,1,HR,1,100,57
1715670983.439038,2341239,55304,1,HR,1,100,56
1715670984.499899,2342251,55469,1,HR,1,100,56
1715670985.627850,2343327,55637,1,HR,1,100,56
