LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670941.991023,2301700,48977,1,BI,1,100,1180
1715670942.983746,2302647,49146,1,BI,1,100,990
1715670943.986951,2303604,49303,1,BI,1,100,990
1715670945.111758,2304677,49489,1,BI,1,100,1130
1715670946.167377,2305684,49644,1,BI,1,100,1040
1715670947.169535,2306640,49791,1,BI,1,100,1000
1715670948.209430,2307632,49963,1,BI,1,100,1030
1715670949.252471,2308627,50135,1,BI,1,100,1040
1715670950.224228,2309554,50290,1,BI,1,100,970
1715670951.319683,2310599,50459,1,BI,1,100,1090
1715670952.284102,2311519,50601,1,BI,1,100,960
1715670953.361736,2312547,50772,1,BI,1,100,1070
1715670954.447756,2313583,50944,1,BI,1,100,1080
1715670955.427899,2314518,51116,1,BI,1,100,980
1715670956.555851,2315594,51289,1,BI,1,100,1120
1715670957.616712,2316606,51452,1,BI,1,100,1050
1715670958.689104,2317629,51627,1,BI,1,100,1070
1715670959.785607,2318675,51796,1,BI,1,100,1090
1715670960.828647,2319670,51966,1,BI,1,100,1040
1715670961.957647,2320747,52154,1,BI,1,100,1120
1715670963.042618,2321782,52299,1,BI,1,100,1080
1715670964.070983,2322763,52440,1,BI,1,100,1020
1715670965.199982,2323840,52628,1,BI,1,100,1120
1715670966.237781,2324830,52782,1,BI,1,100,1030
1715670967.366781,2325907,52951,1,BI,1,100,1120
1715670968.446511,2326937,53101,1,BI,1,100,1080
1715670969.519952,2327961,53271,1,BI,1,100,1060
1715670970.629034,2329019,53441,1,BI,1,100,1110
1715670971.715054,2330055,53613,1,BI,1,100,1080
1715670972.776963,2331068,53785,1,BI,1,100,1050
1715670973.833632,2332076,53945,1,BI,1,100,1060
1715670974.884010,2333078,54100,1,BI,1,100,1040
1715670975.818029,2333969,54253,1,BI,1,100,930
1715670976.874697,2334977,54394,1,BI,1,100,1050
1715670978.026759,2336076,54583,1,BI,1,100,1150
1715670979.134793,2337133,54632,1,BI,1,100,1090
1715670980.235489,2338183,54790,1,BI,1,100,1110
1715670981.327798,2339225,54962,1,BI,1,100,1080
1715670982.344632,2340195,55134,1,BI,1,100,1010
1715670983.439038,2341239,55303,1,BI,1,100,1090
1715670984.499899,2342251,55468,1,BI,1,100,1060
1715670985.627850,2343327,55636,1,BI,1,100,1110
