LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670606.298685,1981469.000,61902,1,TH,1,100,35.957
1715670606.430769,1981595.000,61919,1,TH,1,100,35.957
1715670606.561804,1981720.000,61950,1,TH,1,100,36.065
1715670606.692839,1981845.000,61968,1,TH,1,100,36.065
1715670606.827019,1981973.000,61986,1,TH,1,100,35.913
1715670606.960151,1982100.000,62003,1,TH,1,100,35.913
1715670607.093807,1982227.500,62038,2,TH,1,100,36.035
1715670607.227463,1982355.000,62038,2,TH,1,100,36.035
1715670607.360595,1982482.000,62055,1,TH,1,100,36.033
1715670607.493726,1982609.000,62072,1,TH,1,100,36.033
1715670607.624762,1982734.000,62104,1,TH,1,100,36.093
1715670607.756845,1982860.000,62120,1,TH,1,100,36.093
1715670607.892074,1982989.000,62137,1,TH,1,100,36.005
1715670608.025205,1983116.000,62154,1,TH,1,100,36.005
1715670608.158337,1983243.000,62185,1,TH,1,100,36.031
1715670608.293566,1983372.000,62202,1,TH,1,100,36.031
1715670608.425649,1983498.000,62219,1,TH,1,100,35.978
1715670608.559829,1983626.000,62252,1,TH,1,100,35.978
1715670608.692961,1983753.000,62272,1,TH,1,100,36.037
1715670608.824520,1983878.500,62289,2,TH,1,100,36.037
1715670608.956080,1984004.000,62289,2,TH,1,100,35.994
1715670609.090260,1984132.000,62306,1,TH,1,100,35.994
1715670609.223392,1984259.000,62323,1,TH,1,100,36.056
1715670609.358620,1984388.000,62340,1,TH,1,100,36.056
1715670609.492800,1984516.000,62373,1,TH,1,100,35.984
1715670609.625932,1984643.000,62390,1,TH,1,100,35.984
1715670609.758015,1984769.000,62407,1,TH,1,100,35.996
1715670609.889050,1984894.000,62438,1,TH,1,100,35.996
1715670610.020086,1985019.000,62456,1,TH,1,100,35.978
1715670610.154266,1985147.000,62472,1,TH,1,100,35.978
1715670610.287398,1985274.000,62491,1,TH,1,100,36.037
1715670610.421578,1985402.000,62523,1,TH,1,100,36.037
1715670610.554709,1985529.000,62539,1,TH,1,100,35.922
1715670610.687841,1985656.000,62557,1,TH,1,100,35.922
1715670610.822021,1985784.000,62573,1,TH,1,100,35.888
1715670610.954105,1985910.000,62590,1,TH,1,100,35.888
1715670611.086188,1986036.000,62607,1,TH,1,100,36.047
1715670611.220368,1986164.000,62624,1,TH,1,100,36.047
1715670611.353500,1986291.000,62658,1,TH,1,100,35.964
1715670611.486632,1986418.000,62674,1,TH,1,100,35.964
1715670611.621860,1986547.000,62691,1,TH,1,100,35.976
1715670611.753944,1986673.000,62723,1,TH,1,100,35.976
1715670611.888124,1986801.000,62739,1,TH,1,100,36.024
1715670612.021256,1986928.000,62757,1,TH,1,100,36.024
1715670612.152291,1987053.000,62773,1,TH,1,100,36.028
1715670612.283326,1987178.000,62807,1,TH,1,100,36.028
1715670612.417506,1987306.000,62824,1,TH,1,100,36.010
1715670612.550638,1987433.000,62841,1,TH,1,100,36.010
1715670612.685866,1987562.000,62859,1,TH,1,100,36.042
1715670612.820046,1987690.000,62875,1,TH,1,100,36.042
1715670612.953178,1987817.000,62892,1,TH,1,100,35.968
1715670613.085262,1987943.000,62925,2,TH,1,100,35.968
1715670613.217345,1988069.000,62925,2,TH,1,100,35.927
1715670613.348381,1988194.000,62944,1,TH,1,100,35.927
1715670613.482561,1988322.000,62975,1,TH,1,100,36.065
1715670613.615692,1988449.000,62992,1,TH,1,100,36.065
1715670613.749872,1988577.000,63011,1,TH,1,100,36.033
1715670613.883004,1988704.000,63028,1,TH,1,100,36.033
1715670614.016136,1988831.000,63060,1,TH,1,100,35.987
1715670614.151364,1988960.000,63076,1,TH,1,100,35.987
1715670614.282400,1989085.000,63093,1,TH,1,100,35.950
1715670614.414483,1989211.000,63127,1,TH,1,100,35.950
1715670614.547615,1989338.000,63143,1,TH,1,100,36.035
1715670614.680747,1989465.000,63161,1,TH,1,100,36.035
1715670614.813879,1989592.000,63177,1,TH,1,100,36.063
1715670614.949107,1989721.000,63209,1,TH,1,100,36.063
1715670615.081190,1989847.000,63227,1,TH,1,100,35.985
1715670615.215370,1989975.000,63243,1,TH,1,100,35.985
1715670615.348502,1990102.000,63263,1,TH,1,100,35.971
