LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1715670625.454987,1999743.000,64750,1,T1,1,100,36.987
1715670625.586023,1999868.000,64766,1,T1,1,100,36.924
1715670625.720203,1999996.000,64786,1,T1,1,100,37.002
1715670625.854383,2000124.000,64817,1,T1,1,100,37.001
1715670625.988563,2000252.000,64834,1,T1,1,100,37.036
1715670626.122743,2000380.000,64851,1,T1,1,100,37.016
1715670626.255875,2000507.000,64867,1,T1,1,100,37.042
1715670626.391103,2000636.000,64899,1,T1,1,100,36.983
1715670626.522138,2000761.000,64916,1,T1,1,100,37.028
1715670626.653173,2000886.000,64935,1,T1,1,100,37.048
1715670626.788402,2001015.000,64952,1,T1,1,100,37.021
1715670626.919437,2001140.000,64984,1,T1,1,100,36.903
1715670627.054665,2001269.000,65000,1,T1,1,100,36.887
1715670627.187797,2001396.000,65017,1,T1,1,100,36.951
1715670627.320929,2001523.000,65033,1,T1,1,100,37.014
1715670627.456157,2001652.000,65065,1,T1,1,100,37.042
1715670627.587193,2001777.000,65082,1,T1,1,100,37.089
1715670627.718228,2001902.000,65101,1,T1,1,100,37.074
1715670627.851360,2002029.000,65118,1,T1,1,100,37.067
1715670627.984491,2002156.000,65150,1,T1,1,100,37.065
1715670628.117623,2002283.000,65166,1,T1,1,100,37.063
1715670628.251803,2002411.000,65183,1,T1,1,100,37.098
1715670628.384935,2002538.000,65215,1,T1,1,100,37.078
1715670628.518067,2002665.000,65231,1,T1,1,100,36.963
1715670628.651199,2002792.000,65249,1,T1,1,100,36.878
1715670628.784330,2002919.000,65269,1,T1,1,100,36.912
1715670628.915366,2003044.000,65301,1,T1,1,100,36.891
1715670629.049546,2003172.000,65318,1,T1,1,100,36.953
1715670629.182678,2003299.000,65334,1,T1,1,100,37.015
1715670629.316858,2003427.000,65352,1,T1,1,100,37.006
1715670629.451038,2003555.000,65385,1,T1,1,100,37.003
1715670629.584169,2003682.000,65402,1,T1,1,100,37.037
1715670629.719398,2003811.000,65419,1,T1,1,100,37.051
1715670629.850433,2003936.000,65435,1,T1,1,100,36.987
1715670629.981468,2004061.000,65467,1,T1,1,100,36.994
1715670630.115648,2004189.000,65484,1,T1,1,100,36.998
1715670630.246684,2004314.000,65500,1,T1,1,100,37.070
1715670630.381912,2004443.000,65520,1,T1,1,100,37.066
1715670630.515044,2004570.000,15,1,T1,1,100,36.993
1715670630.648175,2004697.000,32,1,T1,1,100,36.961
1715670630.783404,2004826.000,49,1,T1,1,100,36.983
1715670630.914439,2004951.000,65,1,T1,1,100,37.028
1715670631.046523,2005077.000,97,1,T1,1,100,37.012
1715670631.179654,2005204.000,114,1,T1,1,100,36.970
1715670631.312786,2005331.000,131,1,T1,1,100,36.951
1715670631.445918,2005458.000,150,1,T1,1,100,36.908
1715670631.580098,2005586.000,182,1,T1,1,100,36.996
1715670631.713230,2005713.000,198,1,T1,1,100,36.998
1715670631.846362,2005840.000,215,1,T1,1,100,37.035
1715670631.980542,2005968.000,232,1,T1,1,100,37.050
1715670632.113673,2006095.000,263,1,T1,1,100,37.093
1715670632.244709,2006220.000,280,1,T1,1,100,37.040
1715670632.378889,2006348.000,297,1,T1,1,100,36.876
1715670632.510972,2006474.000,314,1,T1,1,100,37.053
