LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670690.605703,2061893.000,9401,1,SF,1,100,0.0003
1715670690.939056,2062211.000,9453,1,SF,1,100,0.0003
1715670691.272410,2062529.000,9502,1,SF,1,100,0.0003
1715670691.534481,2062779.000,9552,1,SF,1,100,0.0003
1715670691.870979,2063100.000,9603,1,SF,1,100,0.0003
1715670692.205381,2063419.000,9651,1,SF,1,100,0.0003
1715670692.537686,2063736.000,9702,1,SF,1,100,0.0002
1715670692.868943,2064052.000,9750,1,SF,1,100,0.0002
1715670693.270435,2064435.000,9817,1,SF,1,100,0.0002
1715670693.602741,2064752.000,9870,1,SF,1,100,0.0002
1715670693.933998,2065068.000,9918,1,SF,1,100,0.0002
1715670694.201309,2065323.000,9971,1,SF,1,100,0.0002
1715670694.534663,2065641.000,10019,1,SF,1,100,0.0002
1715670694.862775,2065954.000,10068,1,SF,1,100,0.0002
1715670695.198225,2066274.000,10120,1,SF,1,100,0.0002
1715670695.599717,2066657.000,10185,1,SF,1,100,0.0002
1715670695.930974,2066973.000,10234,1,SF,1,100,0.0002
1715670696.263280,2067290.000,10286,1,SF,1,100,0.0002
1715670696.530592,2067545.000,10335,1,SF,1,100,0.0002
1715670696.861849,2067861.000,10385,1,SF,1,100,0.0002
1715670697.193106,2068177.000,10434,1,SF,1,100,0.0002
1715670697.527508,2068496.000,10484,1,SF,1,100,0.0002
1715670697.860861,2068814.000,10535,1,SF,1,100,0.0002
1715670698.258160,2069193.000,10602,1,SF,1,100,0.0002
1715670698.590466,2069510.000,10652,1,SF,1,100,0.0002
1715670698.925916,2069830.000,10703,1,SF,1,100,0.0002
1715670699.257173,2070146.000,10751,1,SF,1,100,0.0002
1715670699.520292,2070397.000,10804,1,SF,1,100,0.0002
1715670699.855742,2070717.000,10852,1,SF,1,100,0.0002
1715670700.186999,2071033.000,10901,1,SF,1,100,0.0002
1715670700.519304,2071350.000,10953,1,SF,1,100,0.0002
1715670700.853706,2071669.000,11002,1,SF,1,100,0.0002
1715670701.255198,2072052.000,11067,1,SF,1,100,0.0002
1715670701.585407,2072367.000,11119,1,SF,1,100,0.0002
1715670701.916664,2072683.000,11168,1,SF,1,100,0.0002
1715670702.185024,2072939.000,11218,1,SF,1,100,0.0002
1715670702.517329,2073256.000,11269,1,SF,1,100,0.0002
1715670702.846490,2073570.000,11317,1,SF,1,100,0.0002
1715670703.181940,2073890.000,11368,1,SF,1,100,0.0002
1715670703.582384,2074272.000,11437,1,SF,1,100,0.0002
1715670703.912592,2074587.000,11485,1,SF,1,100,0.0002
1715670704.246994,2074906.000,11536,1,SF,1,100,0.0002
1715670704.516403,2075163.000,11586,1,SF,1,100,0.0002
1715670704.845563,2075477.000,11637,1,SF,1,100,0.0002
1715670705.178917,2075795.000,11685,1,SF,1,100,0.0002
