LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1715670622.397149,1996826.000,64357,2,EA,1,100,4.335367
1715670622.464239,1996890.000,64357,2,EA,1,100,4.324624
1715670622.531329,1996954.000,64373,1,EA,1,100,4.324624
1715670622.598943,1997018.500,64393,2,EA,1,100,4.324624
1715670622.666558,1997083.000,64393,2,EA,1,100,4.327300
1715670622.733648,1997147.000,64409,2,EA,1,100,4.327300
1715670622.800738,1997211.000,64409,2,EA,1,100,4.329998
1715670622.867828,1997275.000,64426,1,EA,1,100,4.327300
1715670622.933345,1997337.500,64441,2,EA,1,100,4.327300
1715670622.998863,1997400.000,64441,2,EA,1,100,4.327300
1715670623.068050,1997466.000,64458,1,EA,1,100,4.327300
1715670623.133567,1997528.500,64474,2,EA,1,100,4.327300
1715670623.199085,1997591.000,64474,2,EA,1,100,4.327300
1715670623.264602,1997653.500,64492,2,EA,1,100,4.327300
1715670623.330120,1997716.000,64492,2,EA,1,100,4.319263
1715670623.397210,1997780.000,64507,1,EA,1,100,4.316597
1715670623.463776,1997843.500,64523,2,EA,1,100,4.329998
1715670623.530342,1997907.000,64523,2,EA,1,100,4.321932
1715670623.596384,1997970.000,64539,1,EA,1,100,4.319263
1715670623.663998,1998034.500,64561,2,EA,1,100,4.319263
1715670623.731612,1998099.000,64561,2,EA,1,100,4.332681
1715670623.798440,1998162.750,64579,4,EA,1,100,4.335367
1715670623.865268,1998226.500,64579,4,EA,1,100,4.319263
1715670623.932096,1998290.250,64579,4,EA,1,100,4.316597
1715670623.998924,1998354.000,64579,4,EA,1,100,4.319263
1715670624.065490,1998417.500,64597,6,EA,1,100,4.324624
1715670624.132056,1998481.000,64597,6,EA,1,100,4.316597
1715670624.198622,1998544.500,64597,6,EA,1,100,4.316597
1715670624.265188,1998608.000,64597,6,EA,1,100,4.329998
1715670624.331753,1998671.500,64597,6,EA,1,100,4.324624
1715670624.398319,1998735.000,64597,6,EA,1,100,4.308562
1715670624.463662,1998797.333,64614,3,EA,1,100,4.327300
1715670624.529005,1998859.667,64614,3,EA,1,100,4.321932
1715670624.594348,1998922.000,64614,3,EA,1,100,4.311255
1715670624.661962,1998986.500,64633,2,EA,1,100,4.335367
1715670624.729576,1999051.000,64633,2,EA,1,100,4.329998
1715670624.796142,1999114.500,64649,2,EA,1,100,4.335367
1715670624.862708,1999178.000,64649,2,EA,1,100,4.338075
1715670624.930846,1999243.000,64665,1,EA,1,100,4.324624
1715670624.997412,1999306.500,64683,2,EA,1,100,4.335367
1715670625.063978,1999370.000,64683,2,EA,1,100,4.324624
1715670625.130020,1999433.000,64699,1,EA,1,100,4.327300
1715670625.196586,1999496.500,64715,2,EA,1,100,4.329998
1715670625.263152,1999560.000,64715,2,EA,1,100,4.329998
1715670625.329194,1999623.000,64731,2,EA,1,100,4.338075
1715670625.395235,1999686.000,64731,2,EA,1,100,4.327300
1715670625.462325,1999750.000,64748,1,EA,1,100,4.327300
1715670625.527843,1999812.500,64764,2,EA,1,100,4.332681
1715670625.593361,1999875.000,64764,2,EA,1,100,4.327300
1715670625.659402,1999938.000,64784,1,EA,1,100,4.329998
1715670625.726492,2000002.000,64799,2,EA,1,100,4.332681
1715670625.793582,2000066.000,64799,2,EA,1,100,4.327300
1715670625.860672,2000130.000,64815,2,EA,1,100,4.338075
1715670625.927763,2000194.000,64815,2,EA,1,100,4.338075
1715670625.995901,2000259.000,64832,1,EA,1,100,4.335367
1715670626.062991,2000323.000,64849,2,EA,1,100,4.338075
1715670626.130081,2000387.000,64849,2,EA,1,100,4.332681
1715670626.197171,2000451.000,64865,1,EA,1,100,4.335367
1715670626.263213,2000514.000,64882,2,EA,1,100,4.343502
1715670626.329254,2000577.000,64882,2,EA,1,100,4.332681
